,t [s],collide,terminated,x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],hat_x_position_mid [m],hat_u_velo [m/s],hat_y_position_mid [m],hat_vm_velo [m/s],hat_psi [rad],hat_r_angvelo [rad/s],delta_rudder [rad],n_prop [rps],true_wind_speed [m/s],true_wind_direction [rad],hat_delta_rudder [rad],cmd_delta_rudder [rad],hat_n_prop [rps],cmd_n_prop [rps],hat_true_wind_speed [m/s],hat_true_wind_direction [rad]
0,0.0,0.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,5.02621480544463,0.10046592724271462,-0.020450719201385536,-0.00010926525064741093,0.0017308232800396105,0.001247287130484759,0.0,5.0,0.5,1.5707963267948966,0.0,3.16e-322,5.0,3.36e-322,0.5,1.5707963267948966
1,0.1,0.0,0.0,5.01,0.1000765772656081,0.0,-1.7782336009232848e-05,0.0,6.113024215530583e-07,4.9861929832963545,0.09536794879933597,0.007578794123407427,-0.012452393022528997,0.0010795034639679221,0.0010608872658817877,-0.03490658503988659,7.0,0.5009966003694016,1.561869366475178,-0.03490658503988659,-0.13965899848933544,7.0,10.0,0.5009966003694016,1.561869366475178
2,0.2,0.0,0.0,5.020007657726561,0.10025523776073289,-1.7782336009232849e-06,-3.166738046688596e-05,6.113024215530583e-08,-9.487038523522896e-06,5.008367718586494,0.100629210325138,0.003539671217045577,0.0015167078707140893,-0.002939323024327699,-2.875937478335604e-05,-0.06981317007977318,8.833333333333334,0.5015087677457971,1.5624643198074923,-0.06981317007977318,-0.13965899848933544,8.833333333333334,10.0,0.5015087677457971,1.5624643198074923
3,0.30000000000000004,0.0,0.0,5.030033181502827,0.10055814561049972,-4.94435878491571e-06,-3.8084519190182075e-05,-8.87573610196984e-07,-3.938940798251627e-05,5.0420618325010444,0.11556479246454558,-0.0051205840785925605,0.008263955139037037,0.00018996210713448123,-0.0006585019487426838,-0.10471975511965978,9.5625,0.5017369943372608,1.5569978545122758,-0.10471975511965978,-0.13965899848933544,9.5625,10.0,0.5017369943372608,1.5569978545122758
4,0.4,0.0,0.0,5.0400889960604935,0.10091772402884203,-8.761735979565838e-06,-3.644018748411163e-05,-4.82651440844861e-06,-9.059266170439847e-05,5.028952933731438,0.1059802087248645,-0.029955281409014673,0.009446787290912856,0.0021886822503092967,-0.0004561123624321772,-0.12655542146196586,9.8359375,0.5015862216798243,1.5515397756737124,-0.12655542146196586,-0.13965899848933544,9.8359375,10.0,0.5015862216798243,1.5515397756737124
5,0.5,0.0,0.0,5.0501807684456725,0.10129902821013688,-1.2454462812843672e-05,-2.9555723650309906e-05,-1.3885780578888454e-05,-0.00015521229892918024,5.005399818359186,0.11012707421814553,-0.010203823052867243,-0.0020583810083060943,0.0022063897787362357,0.00030490592491020974,-0.13474515710407184,9.9384765625,0.4996248084932869,1.5429987992593661,-0.13474515710407184,-0.13965899848933544,9.9384765625,10.0,0.4996248084932869,1.5429987992593661
6,0.6000000000000001,0.0,0.0,5.060310671224669,0.10168834959558865,-1.5550696785443266e-05,-2.0361210669613285e-05,-2.940701047180649e-05,-0.00022499157448798118,5.032733286160249,0.08576101874649222,-0.01200924465814077,-0.014105118854501728,-0.0011751323780747362,0.0023377505546129974,-0.13781630796986158,9.9769287109375,0.5088209511352347,1.5503220327882035,-0.13781630796986158,-0.13965899848933544,9.9769287109375,10.0,0.5088209511352347,1.5503220327882035
7,0.7000000000000001,0.0,0.0,5.070479506119955,0.10208053068832573,-1.7885852887622925e-05,-1.0813524633875637e-05,-5.19061679206046e-05,-0.00029616971887195897,5.082069984866143,0.12708320754438882,0.01328775625758733,0.011670646711925707,-0.0017373984937340233,-0.00031794895936112887,-0.13896798954453274,9.991348266601562,0.5034973978441045,1.536667329608673,-0.13896798954453274,-0.13965899848933544,9.991348266601562,10.0,0.5034973978441045,1.536667329608673
8,0.8,0.0,0.0,5.080687559118907,0.1024734990141258,-1.949706626604911e-05,-4.2712832102343003e-07,-8.15231398078005e-05,-0.0003680101480103516,5.120846387207892,0.0963134346317107,-0.008054727085736816,0.002212256044145473,-0.000885305726018946,0.0018492044297333731,-0.13939987013503444,9.996755599975586,0.5057132786367508,1.5303219483521975,-0.13939987013503444,-0.13965899848933544,9.996755599975586,10.0,0.5057132786367508,1.5303219483521975
9,0.9,0.0,0.0,5.090934908982786,0.10286653766100808,-2.0375175235756482e-05,1.0111052969138719e-05,-0.00011832415460883564,-0.00043981344373829724,5.101634654183632,0.10269948005437632,-0.04713549772596705,-0.009312248088238797,0.001671218460457125,0.001238500493520953,-0.13956182535647257,9.998783349990845,0.5075231197685104,1.5302776891639573,-0.13956182535647257,-0.13965899848933544,9.998783349990845,10.0,0.5075231197685104,1.5302776891639573
