,t [s],collide,terminated,x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],hat_x_position_mid [m],hat_u_velo [m/s],hat_y_position_mid [m],hat_vm_velo [m/s],hat_psi [rad],hat_r_angvelo [rad/s],delta_rudder [rad],n_prop [rps],true_wind_speed [m/s],true_wind_direction [rad]
1706,170.5999999999957,0.0,0.0,47.130604363587956,0.3197507958752269,-4.952082429762631,0.01788835722288935,-0.23642092946368487,-0.01786107125603637,47.11073287662726,0.3126059475648202,-4.960051289304887,0.025213685782212336,-0.23680762537297367,-0.01806326506568728,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1707,170.6999999999957,0.0,0.0,47.162108965972635,0.3198045564154565,-4.957832705969298,0.017830925520328368,-0.2382070365892884,-0.017819049452481996,47.17820397431413,0.3290487351089085,-4.94496467343095,0.029042659752615975,-0.2389148848589603,-0.01945072034779523,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1708,170.7999999999957,0.0,0.0,47.193607116586776,0.3198586298577326,-4.963646093104064,0.017773912150185152,-0.2399889415345365,-0.01777725958970607,47.1486613974292,0.2990861187249791,-4.954248446462461,0.019783087996859693,-0.24304504195878832,-0.01984265699337176,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1709,170.89999999999569,0.0,0.0,47.22509875550836,0.3199130124656888,-4.9695224209121625,0.017717313099650706,-0.241766667493507,-0.017735700202701772,47.23088973831751,0.31581179133723186,-4.946489279419259,0.021068678406515703,-0.24187044841098027,-0.021410160194261004,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1710,170.99999999999568,0.0,0.0,47.25658382318578,0.3199677005430388,-4.975461520223653,0.01766112440933052,-0.24354023751377707,-0.01769436983254012,47.2507164579147,0.30547492005732846,-4.961161901999157,0.010080571124421345,-0.24352047472978725,-0.01691313362519704,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1711,171.09999999999567,0.0,0.0,47.28806226043303,0.3200226904330572,-4.981463222943115,0.017605342172353888,-0.24530967449703098,-0.017653267026569608,47.28083878457274,0.3246310090010469,-4.963866830747454,0.018788237017676377,-0.24607574453859996,-0.015886798544885585,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1712,171.19999999999567,0.0,0.0,47.319534008425,0.3200779785180687,-4.987527362039468,0.01754996253352617,-0.24707500119968784,-0.017612390338607238,47.294807993208074,0.3221514647225017,-5.0341146493757245,0.03093418067924051,-0.24836792289218262,-0.015833153163966007,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1713,171.29999999999566,0.0,0.0,47.35099900869282,0.32013356121894404,-4.993653771535886,0.017494981688641977,-0.24883624023354847,-0.01757173832913326,47.275117324348564,0.31532587770974957,-4.979828641139276,0.023528929423395045,-0.24622977347914607,-0.016781965904779334,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1714,171.39999999999566,0.0,0.0,47.382457203119245,0.32018943499460345,-4.999842286499826,0.01744039588348018,-0.2505934140664617,-0.017531309565402796,47.38141165265996,0.32423952151682417,-4.9675488033031545,0.008620924579321879,-0.24655332576290862,-0.01979552480549607,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1715,171.49999999999565,0.0,0.0,47.413908533934205,0.3202455963415275,-5.006092743033171,0.017386201412918245,-0.25234654502300186,-0.017491102621182895,47.389375503385516,0.330296487258065,-5.029430041670766,0.01901609741008165,-0.2507748753075427,-0.019972751449629112,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1716,171.59999999999565,0.0,0.0,47.4453529437103,0.3203020417932774,-5.012404978262494,0.017332394620140124,-0.25409565528512007,-0.017451116077264888,47.44767767096758,0.3201626327872809,-5.0032956835300615,0.012949939298103223,-0.25528895427285114,-0.01643605192814576,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1717,171.69999999999564,0.0,0.0,47.476790375358426,0.32035876792002105,-5.018778830329429,0.017278971895851265,-0.25584076689284646,-0.017411348521736023,47.46721725946497,0.3217377686424036,-5.028932528630259,0.030434313797635813,-0.25604616820805975,-0.017567746393892983,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1718,171.79999999999563,0.0,0.0,47.508220772123494,0.3204157713280651,-5.025214138381143,0.017225929677503457,-0.25758190174501994,-0.017371798550108106,47.53254507550822,0.31657347746941583,-4.968064553680161,0.023173441535424794,-0.2560640517749364,-0.01738409631202973,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1719,171.89999999999563,0.0,0.0,47.539644077580135,0.3204730486593948,-5.03171074256092,0.01717326444853466,-0.25931908160003064,-0.017332464765437827,47.54619809486716,0.32296762801540035,-5.0379947998867225,0.023989513222962614,-0.2592134867594321,-0.014510109889598333,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1720,171.99999999999562,0.0,0.0,47.57106023562853,0.32053059659122024,-5.038268483998849,0.017120972737623502,-0.2610523280765743,-0.01729334577843905,47.53952752512649,0.3236246710366517,-5.065874486845831,0.011401131910089176,-0.2591623077445634,-0.01685631988524712,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1721,172.09999999999562,0.0,0.0,47.60246919049028,0.32058841183552916,-5.044887204802616,0.017069051117958103,-0.2627816626544181,-0.01725444020758744,47.62761552530452,0.3303773034235597,-5.042089880987843,-0.0035946572786911962,-0.2649908209281502,-0.017856637166573385,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1722,172.1999999999956,0.0,0.0,47.63387088670435,0.3206464911386465,-5.051566748048396,0.017017496206518955,-0.26450710667517674,-0.017215746679217655,47.65323158434904,0.33448994766676887,-5.085109303905079,0.019354792676735927,-0.263261307417003,-0.017461550504593748,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1723,172.2999999999956,0.0,0.0,47.66526526912303,0.32070483128080074,-5.058306957771852,0.016966304663375505,-0.2662286813430984,-0.01717726382761348,47.658907207782434,0.3139816356983494,-5.062829453341139,0.005559012697714716,-0.26402135892110457,-0.019960781758548946,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1724,172.3999999999956,0.0,0.0,47.696652282908026,0.320763429075696,-5.0651076789592295,0.016915473190996184,-0.26794640772585965,-0.017138990295091104,47.72004987341589,0.336251100458042,-5.061750540279515,0.02512902647636784,-0.2692702748976002,-0.01764246355352817,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1725,172.4999999999956,0.0,0.0,47.72803187352653,0.32082228137009117,-5.0719687575385555,0.016864998533571558,-0.2696603067553687,-0.017100924732075876,47.70494098236813,0.3352405477333473,-5.12297619319516,0.019630273695221273,-0.2703260411933334,-0.011750044481024603,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1726,172.5999999999956,0.0,0.0,47.75940398674743,0.32088138504338465,-5.07889004037093,0.016814877476350364,-0.27137039922857614,-0.01706306579717276,47.74761737074515,0.3143873114198303,-5.082973081483863,0.00765438750466753,-0.2730358622149408,-0.017780325294543334,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1727,172.69999999999558,0.0,0.0,47.79076856863748,0.32094073700720555,-5.08587137524192,0.016765106844988102,-0.2730767058082933,-0.017025412157230767,47.817923518034895,0.320085691467748,-5.102015141945021,0.023011338871536623,-0.2721859383504066,-0.017328298920327955,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1728,172.79999999999558,0.0,0.0,47.82212556555764,0.3210003342050108,-5.092912610853049,0.016715683504907944,-0.2747792470240163,-0.01698796248740159,47.833750880791726,0.3086831077222014,-5.105965278781846,0.025233212570373052,-0.27570602775524766,-0.01779775694210176,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1729,172.89999999999557,0.0,0.0,47.85347492415936,0.321060173611688,-5.100013596813376,0.016666604360673694,-0.2764780432727564,-0.01695071547119269,47.870207634865764,0.3182044782963477,-5.106674512632843,0.02816936833755993,-0.2731342547170656,-0.014331366003325354,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1730,172.99999999999557,0.0,0.0,47.884816591380954,0.32112025223316454,-5.107174183631177,0.016617866355368306,-0.27817311481987556,-0.016913669800385132,47.8715149635099,0.3231587885991987,-5.141850242884886,0.0024754880497341192,-0.2770439090582938,-0.015623643026351018,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1731,173.09999999999556,0.0,0.0,47.9161505144441,0.3211805671060223,-5.1143942227057115,0.016569466469980587,-0.27986448179991397,-0.016876824174895808,47.881309873562664,0.3273306315849579,-5.141920367534814,0.034262178393458034,-0.2790569394837869,-0.013649909648930425,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
1732,173.19999999999555,0.0,0.0,47.947476640850255,0.3212411152971189,-5.121673566319091,0.016521401722825988,-0.2815521642174035,-0.016840177303137575,47.91680891207294,0.3265530184193631,-5.102764826725973,0.005067471487622219,-0.28362029190128407,-0.016260071225618233,-0.10645135140273759,10.0,1.032378321432295,1.15569329100809
