,t [s],collide,terminated,x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi [rad],r_angvelo [rad/s],hat_x_position_mid [m],hat_u_velo [m/s],hat_y_position_mid [m],hat_vm_velo [m/s],hat_psi [rad],hat_r_angvelo [rad/s],delta_rudder [rad],n_prop [rps],true_wind_speed [m/s],true_wind_direction [rad],hat_delta_rudder [rad],cmd_delta_rudder [rad],hat_n_prop [rps],cmd_n_prop [rps]
0,0.0,0.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,5.010432118106496,0.11508464099816747,0.021889804768985163,-0.007517298051316889,-0.0020005530910179492,-0.0008778303274513077,0.0,5.0,2e-322,2.08e-322,0.0,2.27e-322,5.0,2.47e-322
1,0.1,0.0,0.0,5.01,0.10007248655114136,0.0,-9.845071209709966e-06,0.0,-7.1203566203411716e-06,5.042412368622194,0.0899524877697141,0.04111946011483595,0.011837477837816468,0.002438963765617475,-0.00045060685697335343,-0.03490658503988659,7.0,0.42250782363730255,0.7530791710754223,-0.03490658503988659,-0.13965899848933544,7.0,10.0
2,0.2,0.0,0.0,5.020007248655114,0.10024712568375428,-9.845071209709967e-07,-1.569311592357727e-05,-7.120356620341172e-07,-2.474632223452068e-05,5.064553475088451,0.10595996637828574,0.03327332234782685,-0.00451071787489472,-0.0013650817976143365,3.409099025419348e-05,-0.06981317007977318,8.833333333333334,0.42250782363730255,0.7530791710754223,-0.06981317007977318,-0.13965899848933544,8.833333333333334,10.0
3,0.30000000000000004,0.0,0.0,5.030031961222369,0.10054600405150878,-2.560956666178651e-06,-1.4040710333155853e-05,-3.186667885486186e-06,-6.216161716079594e-05,5.040909191932429,0.11139931127006931,0.05419683524228323,-0.004454006073208411,0.001291548366684804,-0.00319413172967427,-0.10471975511965978,9.5625,0.42250782363730255,0.7530791710754223,-0.10471975511965978,-0.13965899848933544,9.5625,10.0
4,0.4,0.0,0.0,5.040086561622995,0.10090156711142076,-3.997068371699543e-06,-4.2885045256788765e-06,-9.40282960156578e-06,-0.00012075160104615444,5.035296688710477,0.09739024009993447,0.06483844546214386,0.0002521013545636829,0.0020983350457569956,-0.0006939804331906288,-0.12655542146196586,9.8359375,0.42250782363730255,0.7530791710754223,-0.12655542146196586,-0.13965899848933544,9.8359375,10.0
5,0.5,0.0,0.0,5.050176718329658,0.10127888334221614,-4.520794848455039e-06,1.0711891091249628e-05,-2.147798970618122e-05,-0.00019262194354810865,5.05120298192376,0.11693153850915941,0.012253048561822116,0.013656649641846784,0.004740653983268795,-0.00034463743800110225,-0.13474515710407184,9.9384765625,0.42250782363730255,0.7530791710754223,-0.13474515710407184,-0.13965899848933544,9.9384765625,10.0
6,0.6000000000000001,0.0,0.0,5.060304606684551,0.10166425851675731,-3.6671324209481876e-06,2.7912091383441843e-05,-4.07401840609921e-05,-0.00026943888923251747,5.05359143393972,0.09604469053501383,-0.007996627162910368,0.00127723068907104,-0.0043465734068125214,0.0023298093291998015,-0.13781630796986158,9.9769287109375,0.42250782363730255,0.7530791710754223,-0.13781630796986158,-0.13965899848933544,9.9769287109375,10.0
7,0.7000000000000001,0.0,0.0,5.070471032641504,0.10205246182360571,-1.2901053452454997e-06,4.608732303047774e-05,-6.768407298424385e-05,-0.0003478567370615666,5.07520758855213,0.10960357898646045,0.013613028564188676,-0.015949862863522412,0.00019369167041750988,-0.00014243306171548257,-0.13896798954453274,9.991348266601562,0.42250782363730255,0.7530791710754223,-0.13896798954453274,-0.13965899848933544,9.991348266601562,10.0
8,0.8,0.0,0.0,5.080676279112427,0.10244151872733981,2.6278943203439847e-06,6.476585742294756e-05,-0.00010246974669040051,-0.0004265887177632075,5.092121858142522,0.09769855163665514,0.03218264968143038,-0.002671894066918545,-0.0006735385653670118,-0.0008388519471808882,-0.13939987013503444,9.996755599975586,0.42250782363730255,0.7530791710754223,-0.13939987013503444,-0.13965899848933544,9.996755599975586,10.0
9,0.9,0.0,0.0,5.090920431595033,0.10283068672403856,8.054764383016475e-06,8.3768369388214e-05,-0.00014512861846672126,-0.000505147538681,5.051665595048049,0.10238101151062123,0.011455041998297538,-0.009306014480149845,-0.0027391637121840892,1.3782448957896844e-05,-0.13956182535647257,9.998783349990845,0.42250782363730255,0.7530791710754223,-0.13956182535647257,-0.13965899848933544,9.998783349990845,10.0
10,1.0,0.0,0.0,5.101203501374863,0.10321968679399775,1.4939233688834473e-05,0.00010302670656382184,-0.00019564337233482124,-0.0005833499550432131,5.130111731352391,0.11088311734201946,0.028672257223752034,0.01423896473478524,-0.002799836678483742,-0.0005265040917006153,-0.13962255856451186,9.999543756246567,0.42250782363730255,0.7530791710754223,-0.13962255856451186,-0.13965899848933544,9.999543756246567,10.0
11,1.1,0.0,0.0,5.111525471872369,0.10360841390593671,2.322247939935298e-05,0.00012251465495880366,-0.0002539783678391426,-0.0006611275043708213,5.130824121702542,0.08833936845878188,0.07487902182472227,-0.004957255784848731,-0.0011786559674646605,-0.00013735537549781473,-0.1396453335175266,9.999828908592463,0.42250782363730255,0.7530791710754223,-0.1396453335175266,-0.13965899848933544,9.999828908592463,10.0
12,1.2000000000000002,0.0,0.0,5.121886316040407,0.10399682828914295,3.284251494255975e-05,0.0001422217673377811,-0.00032009111827622475,-0.0007384549566598885,5.146099209534218,0.09341752744337314,-0.016367102727920187,-0.011722150812190057,0.0009628147361730476,-0.0035409056707542768,-0.13965387412490712,9.999935840722173,0.42250782363730255,0.7530791710754223,-0.13965387412490712,-0.13965899848933544,9.999935840722173,10.0
13,1.3,0.0,0.0,5.1322860028889465,0.10438491464220073,4.3735844898167096e-05,0.00016214350858717824,-0.0003939366139422135,-0.0008153233698104557,5.182605585862018,0.10246227378026233,-0.029375684337924934,-0.024488097207348698,-0.0015713863846698482,-0.0005002764407504889,-0.1396570768526748,9.999975940270815,0.42250782363730255,0.7530791710754223,-0.1396570768526748,-0.13965899848933544,9.999975940270815,10.0
14,1.4000000000000001,0.0,0.0,5.1427244999306385,0.10477266683564719,5.583809062304168e-05,0.000182277550607879,-0.00047546895092325913,-0.0008917299569499846,5.162152803623821,0.0922885367005934,0.011469303741839968,-0.008109249625072458,0.0018282457302191092,-0.0016794209067903334,-0.1396582778755877,9.999990977601556,0.42250782363730255,0.7530791710754223,-0.1396582778755877,-0.13965899848933544,9.999990977601556,10.0
15,1.5,0.0,0.0,5.153201774096633,0.10516008217616832,6.908422881257054e-05,0.000202622380221233,-0.0005646419466182575,-0.0009676742776582008,5.145577296612088,0.10747040412032964,-0.015075177605735804,-0.005865107391149391,0.0009660377897563187,-0.0015726872072293477,-0.13965872825918005,9.999996616600583,0.42250782363730255,0.7530791710754223,-0.13965872825918005,-0.13965899848933544,9.999996616600583,10.0
16,1.6,0.0,0.0,5.163717792078799,0.10554715925611993,8.340868456955078e-05,0.00022317677642179364,-0.0006614093743840776,-0.0010431568061795903,5.12523983690216,0.10375965366031258,0.047764874153843485,0.007710812078281545,-0.0020322886911042395,-0.0004380324637272933,-0.13965889715302718,9.999998731225219,0.42250782363730255,0.7530791710754223,-0.13965889715302718,-0.13965899848933544,9.999998731225219,10.0
17,1.7000000000000002,0.0,0.0,5.174272520456886,0.10593389714734616,9.874536978198425e-05,0.00024393961430412808,-0.0007657250550020368,-0.0011181783928584923,5.186522220000583,0.0960099847458976,0.015830904642453604,0.009960974720762579,-0.0028488244311929787,-0.0014842288089704466,-0.13965896048821985,9.999999524209457,0.42250782363730255,0.7530791710754223,-0.13965896048821985,-0.13965899848933544,9.999999524209457,10.0
18,1.8,0.0,0.0,5.18486592574505,0.10632029509901988,0.00011502770093159718,0.0002649097916955941,-0.0008775428942878859,-0.0011927400611607838,5.24492561988771,0.12145975578866113,0.06347211146377324,0.0012912671941428013,0.0003055086131013089,-0.001251378007755653,-0.1396589842389171,9.999999821578546,0.42250782363730255,0.7530791710754223,-0.1396589842389171,-0.13965899848933544,9.999999821578546,10.0
19,1.9000000000000001,0.0,0.0,5.195497974408155,0.10670635242445566,0.00013218860915026144,0.0002860862018937422,-0.0009968169004039643,-0.0012668429308003543,5.161636415491549,0.10610854724440097,0.004439361181336654,-0.0008011821911893223,-0.002408238698540911,-0.0008870111185785789,-0.13965899314542857,9.999999933091955,0.42250782363730255,0.7530791710754223,-0.13965899314542857,-0.13965899848933544,9.999999933091955,10.0
20,2.0,0.0,0.0,5.206168632866746,0.10709206845877317,0.00015016054734004025,0.00030746772372336917,-0.0011235011934839995,-0.0013404881882404188,5.208092634414884,0.09128414523612409,0.009991291134550051,-0.004065866565461911,0.0001255771928105004,-0.0007328296447179391,-0.13965899648537036,9.999999974909484,0.42250782363730255,0.7530791710754223,-0.13965899648537036,-0.13965899848933544,9.999999974909484,10.0
21,2.1,0.0,0.0,5.216877867497777,0.1074774425431243,0.00016887549616583758,0.00032905321809871226,-0.0012575500123080414,-0.0014136770749826819,5.242863169211958,0.11531275363959624,0.019035692249411464,0.011175403108709594,0.0007569091430162955,-0.0014704122916266668,-0.13965899773784854,9.999999990591057,0.42250782363730255,0.7530791710754223,-0.13965899773784854,-0.13965899848933544,9.999999990591057,10.0
22,2.2,0.0,0.0,5.227625644633754,0.10786247401887888,0.00018826496960004606,0.00035084152702919504,-0.0013989177198063098,-0.0014864108825560168,5.161992790966456,0.12244410969742413,-0.03125618252586805,-0.003123386366241297,-0.0010617372901601612,-0.005063136783304511,-0.13965899820752786,9.999999996471647,0.42250782363730255,0.7530791710754223,-0.13965899820752786,-0.13965899848933544,9.999999996471647,10.0
23,2.3000000000000003,0.0,0.0,5.238411930561285,0.10824716222554381,0.00020826002027440305,0.00037283147352803195,-0.0015475588080619115,-0.0015586909500261864,5.181424560115539,0.1021637280860614,-0.05163943455814145,-0.0025598134562960563,-0.0021725875642515935,-0.0019904075341641496,-0.1396589983836576,9.999999998676868,0.42250782363730255,0.7530791710754223,-0.1396589983836576,-0.13965899848933544,9.999999998676868,10.0
24,2.4000000000000004,0.0,0.0,5.249236691519418,0.10863150650008135,0.00022879124473343328,0.0003950218618734463,-0.0017034279030645303,-0.0016305186624338986,5.249398341375279,0.10537216070407017,0.01733189822064125,-0.0053634855726537225,-0.0022172607591539003,-0.001959039824052878,-0.13965899844970625,9.999999999503826,0.42250782363730255,0.7530791710754223,-0.13965899844970625,-0.13965899848933544,9.999999999503826,10.0
25,2.5,0.0,0.0,5.2600998936979035,0.10901550617675129,0.0002497887886263125,0.0004174114780145285,-0.0018664797693079195,-0.0017018954495999538,5.251546493774731,0.0891630080312227,-0.009702584751018888,-0.005140685039034339,-0.0008329359060429543,-0.0023992904147402917,-0.1396589984744745,9.999999999813936,0.42250782363730255,0.7530791710754223,-0.1396589984744745,-0.13965899848933544,9.999999999813936,10.0
26,2.6,0.0,0.0,5.271001503235426,0.10939916058714898,0.0002711823518522838,0.00043999909001123886,-0.002036669314267915,-0.00177282278507307,5.208478649599382,0.11070710621314164,-0.018021954005340485,0.00245809257275429,-0.0033702167483476405,-0.004060568124735564,-0.1396589984837626,9.999999999930226,0.42250782363730255,0.7530791710754223,-0.1396589984837626,-0.13965899848933544,9.999999999930226,10.0
27,2.7,0.0,0.0,5.281941486217845,0.10978246906031597,0.000292901193663365,0.00046278344849068104,-0.002213951592775222,-0.0018433021851341875,5.27541849498059,0.11156314868068196,-0.05100448117104988,0.006326841723780109,-0.0034408582103529687,-0.0031087184367573377,-0.1396589984872456,9.999999999973834,0.42250782363730255,0.7530791710754223,-0.1396589984872456,-0.13965899848933544,9.999999999973834,10.0
28,2.8000000000000003,0.0,0.0,5.292919808676433,0.11016543092287726,0.00031487413772618455,0.0004857632871070278,-0.0023982818112886412,-0.0019133352078039545,5.241184887708271,0.13551185821813633,-0.0870359114263991,-0.005946785047716769,-0.004861298821617301,-0.003330971407491258,-0.13965899848855176,9.999999999990187,0.42250782363730255,0.7530791710754223,-0.13965899848855176,-0.13965899848933544,9.999999999990187,10.0
29,2.9000000000000004,0.0,0.0,5.303936436586118,0.11054804549918766,0.0003370295771434896,0.0005089373230020548,-0.0025896153320690367,-0.0019829234518720634,5.285041669252118,0.11771517396069602,0.0018027894806322527,0.00439097439516324,-0.0014681874894204156,-0.000646236817123909,-0.13965899848904156,9.999999999996321,0.42250782363730255,0.7530791710754223,-0.13965899848904156,-0.13965899848933544,9.999999999996321,10.0
30,3.0,0.0,0.0,5.314991335863745,0.11093031211148087,0.0003592954794355914,0.0005323042572642766,-0.0027879076772562425,-0.0020520685559380965,5.3375354294504715,0.10740762604540137,-0.04117406271750101,-0.0072744183251012545,-0.002814125846365454,0.0009013176626684783,-0.13965899848922522,9.99999999999862,0.42250782363730255,0.7530791710754223,-0.13965899848922522,-0.13965899848933544,9.99999999999862,10.0
31,3.1,0.0,0.0,5.326084472366341,0.11131223008001866,0.0003815993914818169,0.0005558627753862995,-0.002993114532850052,-0.002120772197469366,5.295270558761004,0.11067711484486975,-0.06106770101397575,0.004809894730325309,-0.0032273065592127027,-0.0003350144796438134,-0.1396589984892941,9.999999999999483,0.42250782363730255,0.7530791710754223,-0.1396589984892941,-0.13965899848933544,9.999999999999483,10.0
32,3.2,0.0,0.0,5.337215811889391,0.11169379872323924,0.0004038684444220091,0.0005796115477181642,-0.003205191752596989,-0.00218903609183549,5.334522744641131,0.12101420583360455,0.0019343311511292847,-0.020541759307395418,-0.006808545880494187,-0.0037746066644944623,-0.13965899848931995,9.999999999999806,0.42250782363730255,0.7530791710754223,-0.13965899848931995,-0.13965899848933544,9.999999999999806,10.0
